donor_id,first_gift_amount,donation_channel,campaign_source,city,donor_age_band,first_gift_month,is_festival_season,communication_optin,time_on_first_visit_secs,donated_again
D1028,803,UPI,SocialMedia,Other,26-35,5,0,1,10,0
D1029,814,BankTransfer,Event,Ghaziabad,18-25,10,1,0,121,1
D1030,2695,UPI,SocialMedia,Lucknow,26-35,11,1,0,50,1
D1031,453,BankTransfer,Website,Ghaziabad,26-35,2,0,0,218,0
D1032,420,Cash,Website,Delhi,26-35,5,0,0,213,0
D1033,340,Card,Event,Delhi,26-35,10,1,1,167,0
D1034,926,Card,Referral,Delhi,26-35,2,0,0,55,1
D1035,1326,UPI,Referral,Kanpur,36-50,3,0,1,244,1
D1036,556,Card,SocialMedia,Ghaziabad,18-25,2,0,0,121,0
D1037,334,UPI,SocialMedia,Other,18-25,7,0,0,266,0
D1038,338,BankTransfer,Website,Ghaziabad,18-25,6,0,1,158,1
D1039,949,UPI,SocialMedia,Other,26-35,4,0,0,175,1
D1040,1013,UPI,SocialMedia,Ghaziabad,26-35,2,0,0,107,0
D1041,880,Cash,SocialMedia,Ghaziabad,36-50,8,0,0,238,1
D1042,378,Card,Referral,Ghaziabad,18-25,10,1,1,182,1
D1043,708,Card,Event,Ghaziabad,26-35,3,0,0,241,1
D1044,653,Card,Website,Other,18-25,8,0,1,152,1
D1045,701,UPI,SocialMedia,Kanpur,26-35,10,1,1,136,1
D1046,1108,Card,SocialMedia,Lucknow,36-50,7,0,1,181,1
D1047,704,UPI,Referral,Lucknow,18-25,7,0,1,240,1
D1048,968,UPI,SocialMedia,Other,18-25,3,0,1,211,1
D1049,631,UPI,SocialMedia,Lucknow,26-35,12,0,1,149,1
D1050,737,UPI,SocialMedia,Other,36-50,12,0,1,10,1
D1051,936,UPI,Website,Other,18-25,9,1,1,196,1
D1052,217,Card,SocialMedia,Ghaziabad,51+,11,1,1,39,0
D1053,481,UPI,SocialMedia,Other,51+,8,0,0,142,1
D1054,433,UPI,SocialMedia,Other,36-50,8,0,1,131,0
D1055,385,Card,SocialMedia,Kanpur,18-25,10,1,0,40,1
D1056,496,UPI,SocialMedia,Lucknow,36-50,1,0,1,166,1
D1057,1714,Card,Event,Kanpur,18-25,3,0,0,290,1
D1058,328,BankTransfer,SocialMedia,Lucknow,36-50,3,0,0,118,0
D1059,1185,UPI,SocialMedia,Kanpur,26-35,8,0,0,193,0
D1060,185,BankTransfer,Website,Delhi,18-25,3,0,0,304,0
D1061,476,UPI,Website,Ghaziabad,18-25,5,0,0,200,0
D1062,674,UPI,SocialMedia,Lucknow,36-50,6,0,0,94,1
D1063,907,Cash,SocialMedia,Kanpur,36-50,9,1,1,156,1
D1064,990,Cash,SocialMedia,Delhi,26-35,7,0,0,173,1
D1065,1049,Cash,Referral,Ghaziabad,26-35,1,0,1,240,1
D1066,471,UPI,SocialMedia,Lucknow,36-50,9,1,1,224,1
D1067,435,Cash,SocialMedia,Ghaziabad,36-50,6,0,0,10,1
D1068,1097,UPI,Event,Kanpur,36-50,2,0,0,80,1
D1069,526,UPI,SocialMedia,Ghaziabad,26-35,8,0,0,135,0
D1070,246,UPI,SocialMedia,Other,26-35,4,0,0,68,0
D1071,272,BankTransfer,SocialMedia,Kanpur,36-50,6,0,1,10,1
D1072,316,UPI,Website,Delhi,18-25,12,0,1,89,1
D1073,852,Cash,Website,Kanpur,26-35,3,0,1,139,1
D1074,665,Card,Website,Delhi,18-25,11,1,0,103,1
D1075,976,Cash,Website,Kanpur,26-35,6,0,1,70,1
D1076,446,Cash,SocialMedia,Ghaziabad,36-50,12,0,0,142,1
D1077,672,BankTransfer,Referral,Ghaziabad,18-25,11,1,1,164,1
D1078,933,UPI,Website,Kanpur,26-35,10,1,1,107,1
D1079,485,UPI,Website,Ghaziabad,18-25,3,0,0,236,1
D1080,829,Card,Website,Ghaziabad,36-50,10,1,1,144,0
D1081,379,UPI,SocialMedia,Lucknow,36-50,5,0,1,78,1
D1082,467,UPI,SocialMedia,Other,26-35,11,1,1,61,0
D1083,461,UPI,Event,Ghaziabad,36-50,12,0,0,125,0
D1084,261,UPI,SocialMedia,Other,18-25,8,0,1,217,1
D1085,846,UPI,Event,Ghaziabad,36-50,11,1,0,82,1
D1086,433,UPI,SocialMedia,Kanpur,36-50,7,0,0,181,1
D1087,607,BankTransfer,SocialMedia,Kanpur,18-25,1,0,1,146,0
D1088,843,UPI,Referral,Ghaziabad,51+,11,1,0,279,1
D1089,823,BankTransfer,Website,Ghaziabad,18-25,7,0,0,167,0
D1090,959,BankTransfer,Event,Other,26-35,1,0,1,91,1
D1091,562,UPI,SocialMedia,Delhi,18-25,1,0,0,191,0
D1092,448,Cash,Event,Lucknow,36-50,9,1,1,193,1
D1093,569,Card,Referral,Ghaziabad,18-25,12,0,1,112,1
D1094,185,Card,Website,Ghaziabad,18-25,9,1,0,58,0
D1095,219,UPI,Website,Lucknow,26-35,6,0,1,177,1
D1096,238,UPI,Event,Kanpur,51+,4,0,1,144,1
D1097,299,UPI,SocialMedia,Kanpur,18-25,6,0,1,33,1
D1098,796,Card,Website,Ghaziabad,26-35,4,0,1,157,1
D1099,319,BankTransfer,Referral,Kanpur,26-35,4,0,1,95,0
D1100,462,Card,Event,Delhi,36-50,2,0,1,33,1
D1101,1494,Cash,SocialMedia,Kanpur,18-25,7,0,0,115,0
D1102,469,BankTransfer,Event,Kanpur,26-35,3,0,0,229,0
D1103,1009,Card,Event,Other,51+,2,0,1,224,1
D1104,313,UPI,Referral,Other,18-25,4,0,1,206,1
D1105,521,BankTransfer,Website,Ghaziabad,26-35,10,1,1,158,1
D1106,310,UPI,SocialMedia,Ghaziabad,36-50,7,0,0,181,0
D1107,475,UPI,SocialMedia,Delhi,18-25,6,0,1,146,0
D1108,1084,Card,Event,Kanpur,26-35,8,0,0,62,1
D1109,180,BankTransfer,SocialMedia,Ghaziabad,18-25,7,0,0,76,0
D1110,816,UPI,Event,Kanpur,36-50,6,0,1,97,1
D1111,711,Card,Website,Ghaziabad,51+,11,1,0,238,1
D1112,397,UPI,Website,Other,26-35,9,1,1,215,0
D1113,219,UPI,SocialMedia,Delhi,26-35,3,0,0,64,0
D1114,633,UPI,Website,Other,26-35,10,1,1,143,0
D1115,415,Cash,Website,Delhi,18-25,3,0,1,111,1
D1116,708,BankTransfer,SocialMedia,Lucknow,18-25,1,0,0,129,1
D1117,611,UPI,Website,Delhi,18-25,6,0,1,102,0
D1118,1847,UPI,Website,Delhi,18-25,5,0,1,238,1
D1119,509,UPI,Website,Ghaziabad,36-50,10,1,0,138,1
D1120,294,UPI,SocialMedia,Kanpur,18-25,9,1,1,155,0
D1121,682,Card,SocialMedia,Lucknow,18-25,1,0,1,155,1
D1122,702,Card,Event,Kanpur,26-35,6,0,0,68,1
D1123,1558,Card,SocialMedia,Ghaziabad,18-25,10,1,1,147,0
D1124,1080,UPI,Event,Kanpur,18-25,9,1,0,214,0
D1125,773,Card,Website,Lucknow,18-25,7,0,0,243,0
D1126,1676,UPI,SocialMedia,Kanpur,18-25,8,0,0,59,0
D1127,262,UPI,Event,Kanpur,26-35,7,0,1,33,1
D1128,385,BankTransfer,Referral,Ghaziabad,36-50,3,0,1,144,1
D1129,315,Cash,Event,Kanpur,36-50,7,0,0,217,0
D1130,458,BankTransfer,Event,Other,36-50,9,1,0,165,1
D1131,230,BankTransfer,Event,Ghaziabad,26-35,1,0,0,187,1
D1132,939,Card,SocialMedia,Ghaziabad,51+,9,1,1,44,1
D1133,515,BankTransfer,SocialMedia,Kanpur,26-35,3,0,0,99,1
D1134,215,UPI,Website,Other,26-35,1,0,0,10,1
D1135,296,UPI,SocialMedia,Lucknow,26-35,10,1,0,130,1
D1136,750,UPI,SocialMedia,Ghaziabad,18-25,5,0,1,10,0
D1137,1082,UPI,SocialMedia,Kanpur,18-25,5,0,1,233,1
D1138,2435,UPI,Website,Delhi,18-25,8,0,1,248,1
D1139,4627,UPI,SocialMedia,Other,36-50,7,0,0,149,0
D1140,804,Cash,Website,Ghaziabad,18-25,8,0,1,34,0
D1141,301,Cash,SocialMedia,Kanpur,36-50,12,0,1,166,1
D1142,135,Card,Event,Kanpur,36-50,8,0,1,270,0
D1143,726,UPI,SocialMedia,Kanpur,26-35,1,0,0,173,0
D1144,341,Cash,SocialMedia,Delhi,18-25,3,0,0,222,0
D1145,450,UPI,Event,Other,26-35,6,0,1,106,1
D1146,392,UPI,Website,Other,18-25,6,0,0,79,0
D1147,545,UPI,SocialMedia,Delhi,51+,5,0,1,135,1
D1148,1269,UPI,Event,Kanpur,36-50,3,0,0,10,1
D1149,672,UPI,Event,Other,36-50,2,0,0,298,1
D1150,539,Cash,SocialMedia,Ghaziabad,26-35,2,0,1,149,0
D1151,292,Cash,Event,Ghaziabad,36-50,12,0,0,200,0
D1152,186,Card,SocialMedia,Delhi,36-50,5,0,0,107,0
D1153,428,UPI,Event,Kanpur,18-25,12,0,1,31,0
D1154,580,Cash,SocialMedia,Other,18-25,5,0,0,239,0
D1155,2075,Card,Event,Other,18-25,4,0,1,61,1
D1156,659,UPI,SocialMedia,Delhi,26-35,6,0,0,164,1
D1157,1197,Card,Event,Delhi,36-50,12,0,1,171,0
D1158,424,Card,Event,Ghaziabad,26-35,7,0,1,145,1
D1159,263,UPI,Referral,Kanpur,26-35,1,0,0,85,0
D1160,306,UPI,Event,Delhi,51+,4,0,1,129,1
D1161,362,Card,Website,Lucknow,18-25,12,0,1,73,1
D1162,2670,UPI,SocialMedia,Other,18-25,2,0,1,196,1
D1163,339,UPI,SocialMedia,Kanpur,51+,11,1,0,180,0
D1164,1082,UPI,SocialMedia,Ghaziabad,51+,12,0,1,138,1
D1165,320,BankTransfer,Event,Ghaziabad,36-50,3,0,1,100,0
D1166,1155,UPI,Website,Delhi,18-25,7,0,1,287,1
D1167,788,UPI,Website,Delhi,51+,8,0,1,48,0
D1168,539,UPI,Event,Other,36-50,10,1,1,31,1
D1169,585,BankTransfer,Website,Kanpur,36-50,10,1,1,134,1
D1170,381,Card,SocialMedia,Ghaziabad,18-25,1,0,1,121,0
D1171,822,BankTransfer,SocialMedia,Kanpur,26-35,4,0,1,216,0
D1172,438,UPI,Website,Kanpur,36-50,12,0,1,185,0
D1173,255,UPI,SocialMedia,Ghaziabad,36-50,5,0,0,142,1
D1174,246,Card,SocialMedia,Lucknow,26-35,3,0,1,175,1
D1175,679,UPI,Referral,Ghaziabad,26-35,8,0,0,173,0
D1176,1818,Cash,Referral,Ghaziabad,36-50,3,0,1,287,0
D1177,673,BankTransfer,Website,Lucknow,26-35,2,0,1,157,0
D1178,554,Card,SocialMedia,Other,26-35,10,1,1,92,1
D1179,735,BankTransfer,Website,Kanpur,18-25,2,0,0,153,1
D1180,1501,Card,SocialMedia,Ghaziabad,18-25,11,1,1,10,1
D1181,702,UPI,Event,Delhi,36-50,3,0,0,137,1
D1182,451,Card,SocialMedia,Delhi,18-25,2,0,1,216,0
D1183,1306,UPI,Referral,Other,18-25,9,1,1,182,1
D1184,813,Cash,Referral,Kanpur,51+,3,0,1,160,1
D1185,1763,UPI,Website,Lucknow,36-50,5,0,0,185,0
D1186,684,UPI,SocialMedia,Other,18-25,5,0,1,217,1
D1187,255,Card,Event,Ghaziabad,18-25,7,0,1,239,1
D1188,231,UPI,SocialMedia,Ghaziabad,36-50,6,0,1,171,0
D1189,1912,UPI,Referral,Other,26-35,3,0,1,117,1
D1190,2011,Card,SocialMedia,Kanpur,26-35,3,0,1,10,0
D1191,531,UPI,SocialMedia,Delhi,26-35,3,0,0,208,0
D1192,460,Card,Website,Other,18-25,1,0,0,176,0
D1193,1674,UPI,Event,Kanpur,36-50,8,0,1,150,0
D1194,277,UPI,Website,Delhi,18-25,6,0,1,91,1
D1195,322,UPI,SocialMedia,Ghaziabad,26-35,2,0,0,207,1
D1196,944,Cash,Website,Other,18-25,4,0,1,121,0
D1197,457,BankTransfer,SocialMedia,Other,18-25,9,1,0,137,1
D1198,600,UPI,SocialMedia,Other,18-25,4,0,0,136,1
D1199,537,BankTransfer,Event,Kanpur,36-50,5,0,1,171,0
D1200,762,Card,SocialMedia,Delhi,18-25,9,1,1,59,1
D1201,1612,Card,Event,Other,18-25,9,1,1,179,1
D1202,641,Cash,SocialMedia,Lucknow,18-25,9,1,0,89,0
D1203,945,Cash,SocialMedia,Lucknow,36-50,5,0,1,91,1
D1204,143,Cash,Website,Kanpur,26-35,6,0,1,201,1
D1205,582,Card,SocialMedia,Other,51+,11,1,1,70,1
D1206,334,Card,Website,Kanpur,36-50,11,1,0,201,0
D1207,256,UPI,Website,Ghaziabad,26-35,1,0,1,147,0
D1208,325,UPI,SocialMedia,Other,36-50,11,1,0,24,1
D1209,476,Card,Website,Other,18-25,11,1,1,235,1
D1210,1143,UPI,SocialMedia,Other,51+,12,0,1,161,0
D1211,238,UPI,SocialMedia,Ghaziabad,51+,4,0,0,167,1
D1212,615,UPI,SocialMedia,Kanpur,18-25,7,0,0,210,0
D1213,429,UPI,Website,Ghaziabad,26-35,1,0,1,244,0
D1214,478,Card,Event,Kanpur,18-25,2,0,1,154,1
D1215,1214,Card,Event,Other,26-35,7,0,0,183,0
D1216,877,UPI,Referral,Lucknow,36-50,3,0,0,165,1
D1217,1535,UPI,SocialMedia,Ghaziabad,51+,3,0,1,115,0
D1218,540,UPI,Referral,Kanpur,18-25,4,0,0,29,0
D1219,370,UPI,Website,Ghaziabad,36-50,6,0,1,155,1
D1220,515,Cash,Referral,Other,36-50,2,0,1,236,1
D1221,713,Card,Referral,Delhi,18-25,10,1,0,180,1
D1222,681,Card,Referral,Kanpur,26-35,9,1,1,65,1
D1223,282,Card,SocialMedia,Kanpur,36-50,10,1,1,216,1
D1224,641,BankTransfer,Website,Ghaziabad,36-50,12,0,1,118,1
D1225,706,Cash,Website,Kanpur,51+,8,0,1,10,1
D1226,3506,Card,Website,Other,18-25,5,0,0,211,0
D1227,2239,Card,SocialMedia,Delhi,18-25,12,0,0,73,0
D1228,331,UPI,Referral,Kanpur,18-25,7,0,1,264,1
D1229,492,BankTransfer,SocialMedia,Delhi,18-25,6,0,1,220,1
D1230,216,UPI,Event,Ghaziabad,26-35,5,0,0,124,1
D1231,398,UPI,Event,Kanpur,36-50,1,0,0,172,1
D1232,751,BankTransfer,SocialMedia,Lucknow,26-35,12,0,1,309,0
D1233,1400,Cash,Website,Kanpur,36-50,10,1,0,210,0
D1234,361,UPI,SocialMedia,Ghaziabad,26-35,9,1,1,156,1
D1235,381,UPI,Website,Other,18-25,3,0,1,342,0
D1236,134,UPI,Website,Other,36-50,12,0,0,148,0
D1237,537,Card,SocialMedia,Ghaziabad,36-50,3,0,1,180,1
D1238,286,UPI,Website,Lucknow,26-35,3,0,0,74,1
D1239,415,BankTransfer,SocialMedia,Kanpur,51+,1,0,1,22,1
D1240,326,BankTransfer,Website,Lucknow,26-35,4,0,1,119,1
D1241,563,Card,Referral,Kanpur,18-25,4,0,1,142,1
D1242,176,Card,SocialMedia,Lucknow,26-35,10,1,1,163,0
D1243,216,UPI,Website,Kanpur,36-50,4,0,1,40,0
D1244,2672,UPI,Event,Other,26-35,12,0,1,186,1
D1245,244,Cash,Event,Other,36-50,4,0,1,81,1
D1246,279,UPI,Website,Ghaziabad,26-35,7,0,0,182,0
D1247,2177,UPI,Event,Delhi,26-35,8,0,1,205,1
D1248,4599,UPI,Website,Kanpur,36-50,10,1,1,112,1
D1249,265,UPI,SocialMedia,Delhi,26-35,10,1,0,72,1
D1250,465,UPI,SocialMedia,Kanpur,26-35,11,1,1,248,1
D1251,764,Cash,Referral,Kanpur,18-25,12,0,1,201,1
D1252,2018,Cash,SocialMedia,Delhi,26-35,2,0,1,150,0
D1253,302,Card,Event,Ghaziabad,26-35,2,0,0,242,1
D1254,507,Cash,SocialMedia,Lucknow,18-25,6,0,1,145,1
D1255,1037,UPI,Website,Lucknow,26-35,2,0,1,96,1
D1256,816,Cash,Event,Kanpur,18-25,6,0,0,69,0
D1257,463,Card,Event,Kanpur,18-25,8,0,1,132,0
D1258,548,UPI,SocialMedia,Lucknow,26-35,4,0,1,194,1
D1259,230,BankTransfer,Event,Lucknow,18-25,2,0,0,237,1
D1260,509,UPI,Referral,Kanpur,26-35,12,0,1,141,1
D1261,499,UPI,Event,Ghaziabad,36-50,5,0,0,224,0
D1262,708,UPI,Event,Lucknow,18-25,11,1,1,125,1
D1263,408,UPI,Website,Delhi,18-25,8,0,1,85,0
D1264,837,UPI,SocialMedia,Other,26-35,8,0,1,48,0
D1265,1223,Card,Event,Ghaziabad,18-25,10,1,1,104,1
D1266,671,BankTransfer,SocialMedia,Lucknow,26-35,4,0,0,51,1
D1267,770,UPI,SocialMedia,Lucknow,36-50,3,0,0,280,1
D1268,625,Card,Website,Ghaziabad,26-35,12,0,1,170,1
D1269,602,UPI,Referral,Kanpur,26-35,9,1,0,133,1
D1270,363,Cash,Referral,Kanpur,51+,4,0,0,260,1
D1271,751,UPI,Referral,Other,18-25,8,0,0,48,1
D1272,562,UPI,Event,Kanpur,36-50,5,0,1,130,1
D1273,2605,Card,SocialMedia,Lucknow,36-50,11,1,1,279,0
D1274,1810,Card,Website,Lucknow,26-35,7,0,0,129,0
D1275,788,Cash,Referral,Ghaziabad,18-25,4,0,0,311,0
D1276,353,Card,Website,Other,18-25,9,1,0,194,1
D1277,276,Cash,Event,Delhi,51+,10,1,0,231,1
D1278,1385,UPI,Website,Kanpur,18-25,5,0,0,233,0
D1279,723,UPI,Website,Delhi,36-50,10,1,1,140,1
D1280,842,UPI,Referral,Lucknow,26-35,3,0,1,105,1
D1281,177,UPI,Website,Ghaziabad,26-35,3,0,0,131,1
D1282,1152,UPI,Event,Delhi,26-35,10,1,1,70,1
D1283,827,Card,SocialMedia,Delhi,18-25,8,0,1,135,1
D1284,277,UPI,Event,Ghaziabad,26-35,1,0,0,139,0
D1285,433,Card,SocialMedia,Other,51+,9,1,0,258,0
D1286,724,Card,Referral,Lucknow,18-25,4,0,1,181,1
D1287,624,Card,Event,Lucknow,51+,4,0,0,305,0
D1288,491,Card,Event,Kanpur,51+,6,0,1,10,0
D1289,560,UPI,SocialMedia,Kanpur,18-25,6,0,1,54,0
D1290,505,UPI,Website,Ghaziabad,26-35,11,1,1,115,1
D1291,670,Card,Event,Lucknow,18-25,6,0,0,244,1
D1292,1686,Card,SocialMedia,Lucknow,26-35,4,0,0,132,0
D1293,100,UPI,Referral,Delhi,51+,10,1,1,37,1
D1294,510,UPI,SocialMedia,Kanpur,36-50,7,0,1,122,1
D1295,681,Card,Event,Delhi,51+,1,0,0,56,1
D1296,740,Card,SocialMedia,Other,18-25,8,0,1,42,1
D1297,464,UPI,Event,Delhi,26-35,7,0,0,279,1
D1298,176,UPI,Website,Delhi,18-25,7,0,1,115,0
D1299,757,BankTransfer,Referral,Other,36-50,3,0,1,152,0
D1300,2017,UPI,SocialMedia,Kanpur,18-25,6,0,1,133,0
D1301,206,BankTransfer,Referral,Delhi,18-25,8,0,1,122,0
D1302,1102,UPI,Website,Other,18-25,9,1,1,81,0
D1303,478,Card,SocialMedia,Lucknow,18-25,9,1,1,118,1
D1304,577,UPI,SocialMedia,Kanpur,18-25,12,0,0,163,0
D1305,288,UPI,SocialMedia,Other,18-25,7,0,1,239,0
D1306,476,BankTransfer,Referral,Kanpur,36-50,6,0,0,206,1
D1307,1495,Card,SocialMedia,Ghaziabad,36-50,7,0,0,54,1
D1308,905,BankTransfer,Event,Kanpur,18-25,4,0,1,209,0
D1309,2024,UPI,Website,Ghaziabad,36-50,4,0,0,173,1
D1310,1372,BankTransfer,Referral,Ghaziabad,26-35,9,1,0,96,0
D1311,818,BankTransfer,Website,Ghaziabad,36-50,4,0,1,152,1
D1312,2040,Card,Website,Other,18-25,9,1,0,180,1
D1313,818,UPI,SocialMedia,Ghaziabad,26-35,9,1,1,143,0
D1314,1074,Card,Referral,Lucknow,26-35,12,0,0,173,0
D1315,489,Card,SocialMedia,Other,18-25,2,0,1,79,0
D1316,631,BankTransfer,SocialMedia,Other,26-35,5,0,1,279,0
D1317,369,UPI,Referral,Kanpur,36-50,10,1,0,10,0
D1318,1203,UPI,SocialMedia,Kanpur,36-50,6,0,1,180,1
D1319,264,UPI,SocialMedia,Lucknow,26-35,8,0,0,165,0
D1320,1041,Card,Website,Other,26-35,9,1,0,185,1
D1321,527,BankTransfer,SocialMedia,Lucknow,36-50,11,1,0,90,1
D1322,1366,UPI,SocialMedia,Kanpur,18-25,3,0,0,221,1
D1323,1018,Cash,Website,Delhi,18-25,4,0,0,132,1
D1324,2153,BankTransfer,Website,Delhi,26-35,6,0,1,56,0
D1325,1004,UPI,Website,Lucknow,18-25,7,0,1,63,1
D1326,200,UPI,SocialMedia,Other,26-35,11,1,1,148,0
D1327,574,Card,Event,Delhi,18-25,1,0,1,28,1
D1328,265,Card,Website,Delhi,26-35,3,0,0,266,1
D1329,419,UPI,SocialMedia,Delhi,36-50,11,1,0,213,0
D1330,1733,Cash,SocialMedia,Delhi,36-50,8,0,0,267,1
D1331,940,Card,SocialMedia,Lucknow,36-50,9,1,1,260,1
D1332,369,BankTransfer,Event,Ghaziabad,26-35,3,0,1,115,0
D1333,296,BankTransfer,SocialMedia,Delhi,51+,8,0,0,79,0
D1334,616,Cash,Website,Lucknow,36-50,5,0,0,10,1
D1335,257,Card,Referral,Ghaziabad,26-35,9,1,0,111,0
D1336,376,UPI,SocialMedia,Kanpur,18-25,2,0,1,263,0
D1337,749,Card,Website,Delhi,26-35,4,0,1,82,1
D1338,1351,UPI,SocialMedia,Lucknow,26-35,8,0,1,125,1
D1339,922,Card,SocialMedia,Ghaziabad,36-50,8,0,1,101,1
D1340,121,UPI,Website,Ghaziabad,36-50,11,1,0,166,0
D1341,745,Card,Event,Kanpur,51+,10,1,0,230,1
D1342,633,UPI,Referral,Other,51+,1,0,1,32,1
D1343,804,UPI,Event,Other,26-35,2,0,1,45,1
D1344,1866,UPI,SocialMedia,Lucknow,51+,5,0,0,244,1
D1345,142,Card,Event,Ghaziabad,51+,12,0,0,191,1
D1346,398,Cash,SocialMedia,Delhi,18-25,6,0,0,121,1
D1347,910,UPI,Referral,Lucknow,26-35,11,1,0,259,1
D1348,199,BankTransfer,Website,Other,18-25,1,0,0,44,0
D1349,1691,BankTransfer,SocialMedia,Kanpur,18-25,12,0,0,205,0
D1350,779,UPI,Event,Kanpur,18-25,1,0,1,135,1
D1351,1089,Card,Website,Lucknow,26-35,10,1,1,182,1
D1352,404,UPI,Website,Kanpur,18-25,11,1,1,10,1
D1353,1064,UPI,SocialMedia,Lucknow,18-25,4,0,1,121,1
D1354,1271,Card,SocialMedia,Delhi,18-25,4,0,1,191,1
D1355,708,UPI,SocialMedia,Kanpur,36-50,7,0,1,135,1
D1356,709,BankTransfer,SocialMedia,Ghaziabad,36-50,9,1,0,227,0
D1357,727,BankTransfer,Event,Delhi,51+,2,0,0,225,1
D1358,329,Cash,SocialMedia,Other,26-35,3,0,0,72,1
D1359,543,Card,Event,Ghaziabad,18-25,10,1,1,197,1
D1360,541,Card,Event,Kanpur,36-50,10,1,0,70,1
D1361,787,BankTransfer,SocialMedia,Lucknow,18-25,2,0,0,143,0
D1362,1212,UPI,Referral,Ghaziabad,51+,11,1,1,185,0
D1363,287,UPI,Event,Delhi,36-50,11,1,1,81,1
D1364,551,Card,SocialMedia,Lucknow,26-35,11,1,1,195,1
D1365,1698,UPI,Event,Kanpur,18-25,3,0,1,104,0
D1366,358,UPI,SocialMedia,Delhi,18-25,9,1,1,99,0
D1367,338,UPI,Referral,Lucknow,26-35,2,0,1,189,1
D1368,693,Card,Event,Kanpur,26-35,3,0,0,81,1
D1369,1087,UPI,Event,Lucknow,36-50,1,0,1,77,1
D1370,607,UPI,Referral,Other,26-35,6,0,1,212,0
D1371,1526,UPI,Website,Delhi,26-35,9,1,0,147,0
D1372,1096,UPI,Website,Kanpur,18-25,3,0,1,38,1
D1373,1085,BankTransfer,SocialMedia,Delhi,26-35,3,0,1,199,1
D1374,887,UPI,SocialMedia,Kanpur,18-25,4,0,1,111,1
D1375,3070,Card,Website,Lucknow,36-50,3,0,1,41,0
D1376,521,Cash,Event,Lucknow,26-35,10,1,0,10,1
D1377,148,UPI,Website,Kanpur,36-50,3,0,0,203,0
D1378,1850,Cash,Website,Ghaziabad,26-35,4,0,0,79,1
D1379,437,Card,SocialMedia,Other,18-25,4,0,1,52,1
D1380,649,Card,SocialMedia,Kanpur,36-50,3,0,1,184,1
D1381,1505,UPI,Event,Other,36-50,12,0,1,196,0
D1382,196,UPI,SocialMedia,Delhi,36-50,3,0,1,84,0
D1383,251,BankTransfer,Website,Lucknow,26-35,6,0,1,203,1
D1384,196,Cash,Website,Kanpur,36-50,7,0,0,283,0
D1385,345,BankTransfer,Event,Kanpur,18-25,4,0,0,234,0
D1386,819,BankTransfer,Website,Kanpur,26-35,6,0,1,223,1
D1387,869,UPI,Event,Lucknow,36-50,3,0,1,161,1
D1388,730,Cash,Website,Other,18-25,6,0,0,108,1
D1389,224,Card,SocialMedia,Other,36-50,1,0,1,136,1
D1390,119,Cash,Website,Kanpur,26-35,6,0,1,170,0
D1391,625,UPI,Website,Kanpur,18-25,5,0,0,51,1
D1392,433,UPI,SocialMedia,Kanpur,18-25,5,0,1,86,0
D1393,830,Cash,Event,Other,36-50,2,0,1,40,0
D1394,984,Cash,Referral,Kanpur,36-50,12,0,1,156,1
D1395,663,Card,SocialMedia,Kanpur,18-25,1,0,0,145,1
D1396,1025,UPI,Website,Lucknow,18-25,2,0,0,94,1
D1397,707,UPI,Referral,Lucknow,18-25,2,0,0,197,0
